,Airline_Mentioned,Attribute_Mentioned
6499,"['spirit_airline', 'united_airline']","['check-in_boarding', 'customer_service', 'monetary_values', 'comfort']"
6500,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6501,['spirit_airline'],['check-in_boarding']
6502,['spirit_airline'],"['monetary_values', 'customer_service', 'comfort', 'food_beverage', 'check-in_boarding']"
6503,['spirit_airline'],"['customer_service', 'monetary_values']"
6504,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6505,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'food_beverage', 'customer_service']"
6506,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6507,['spirit_airline'],"['in-flight_entertainment', 'monetary_values', 'customer_service', 'check-in_boarding']"
6508,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6509,['spirit_airline'],"['monetary_values', 'customer_service']"
6510,['spirit_airline'],"['comfort', 'check-in_boarding', 'food_beverage', 'monetary_values']"
6511,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding']"
6512,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6513,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6514,['spirit_airline'],"['customer_service', 'food_beverage', 'check-in_boarding', 'monetary_values']"
6515,['spirit_airline'],"['customer_service', 'monetary_values', 'comfort']"
6516,['spirit_airline'],"['food_beverage', 'monetary_values', 'customer_service']"
6517,"['spirit_airline', 'american_airline']","['check-in_boarding', 'customer_service', 'monetary_values']"
6518,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'cleanliness']"
6519,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6520,['spirit_airline'],"['food_beverage', 'monetary_values', 'customer_service']"
6521,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6522,['spirit_airline'],"['customer_service', 'monetary_values', 'comfort', 'check-in_boarding']"
6523,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6524,['spirit_airline'],"['monetary_values', 'customer_service']"
6525,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6526,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6527,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6528,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort']"
6529,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6530,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6531,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6532,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6533,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6534,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
6535,"['spirit_airline', 'american_airline']","['customer_service', 'check-in_boarding']"
6536,['spirit_airline'],['check-in_boarding']
6537,['spirit_airline'],['customer_service']
6538,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6539,['spirit_airline'],['check-in_boarding']
6540,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6541,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6542,['spirit_airline'],"['check-in_boarding', 'food_beverage']"
6543,['spirit_airline'],"['monetary_values', 'customer_service']"
6544,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6545,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6546,['spirit_airline'],['monetary_values']
6547,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6548,['spirit_airline'],"['monetary_values', 'customer_service']"
6549,['spirit_airline'],['monetary_values']
6550,"['spirit_airline', 'southwest_airline']","['customer_service', 'check-in_boarding', 'monetary_values', 'comfort']"
6551,['spirit_airline'],"['comfort', 'check-in_boarding', 'monetary_values']"
6552,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6553,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6554,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6555,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6556,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6557,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6558,['spirit_airline'],"['monetary_values', 'customer_service', 'comfort', 'check-in_boarding']"
6559,['spirit_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
6560,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6561,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6562,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort']"
6563,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values', 'food_beverage']"
6564,['spirit_airline'],"['monetary_values', 'customer_service', 'comfort']"
6565,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6566,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6567,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6568,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding', 'comfort']"
6569,['spirit_airline'],['check-in_boarding']
6570,['spirit_airline'],"['comfort', 'customer_service', 'check-in_boarding']"
6571,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6572,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6573,['spirit_airline'],"['check-in_boarding', 'comfort']"
6574,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6575,['spirit_airline'],['comfort']
6576,['spirit_airline'],"['customer_service', 'check-in_boarding', 'comfort', 'monetary_values']"
6577,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding']"
6578,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6579,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding', 'comfort']"
6580,['spirit_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
6581,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6582,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6583,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6584,['spirit_airline'],"['comfort', 'customer_service']"
6585,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6586,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6587,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort', 'customer_service']"
6588,['spirit_airline'],"['check-in_boarding', 'customer_service', 'food_beverage']"
6589,['spirit_airline'],['monetary_values']
6590,['spirit_airline'],"['customer_service', 'food_beverage', 'monetary_values', 'check-in_boarding']"
6591,['spirit_airline'],"['comfort', 'check-in_boarding', 'cleanliness', 'customer_service', 'monetary_values']"
6592,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6593,['spirit_airline'],['check-in_boarding']
6594,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6595,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6596,['spirit_airline'],"['check-in_boarding', 'food_beverage', 'monetary_values']"
6597,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6598,['spirit_airline'],['check-in_boarding']
6599,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6600,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6601,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6602,"['spirit_airline', 'united_airline']","['customer_service', 'check-in_boarding']"
6603,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6604,['spirit_airline'],"['customer_service', 'monetary_values']"
6605,"['spirit_airline', 'american_airline']","['monetary_values', 'check-in_boarding']"
6606,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6607,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6608,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6609,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6610,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6611,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6612,['spirit_airline'],['monetary_values']
6613,['spirit_airline'],"['customer_service', 'comfort', 'food_beverage', 'monetary_values']"
6614,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6615,['spirit_airline'],"['comfort', 'check-in_boarding', 'monetary_values']"
6616,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'customer_service']"
6617,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6618,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6619,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
6620,['spirit_airline'],"['comfort', 'monetary_values', 'check-in_boarding']"
6621,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6622,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6623,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6624,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6625,['spirit_airline'],"['check-in_boarding', 'comfort', 'monetary_values', 'customer_service']"
6626,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6628,['spirit_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
6629,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6630,"['spirit_airline', 'delta_airline']","['monetary_values', 'customer_service', 'check-in_boarding']"
6631,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'monetary_values']"
6632,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'food_beverage', 'cleanliness', 'customer_service']"
6633,['spirit_airline'],['monetary_values']
6634,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6635,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6636,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6637,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6638,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6639,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
6640,['spirit_airline'],"['customer_service', 'monetary_values']"
6641,['spirit_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
6642,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6643,"['spirit_airline', 'american_airline']","['check-in_boarding', 'customer_service', 'monetary_values', 'food_beverage']"
6644,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6645,['spirit_airline'],['check-in_boarding']
6646,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6647,['spirit_airline'],"['comfort', 'monetary_values', 'customer_service']"
6648,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6650,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6651,['spirit_airline'],"['check-in_boarding', 'food_beverage', 'customer_service', 'comfort', 'monetary_values']"
6652,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6653,['spirit_airline'],['monetary_values']
6655,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6656,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6657,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6658,['spirit_airline'],['check-in_boarding']
6659,"['spirit_airline', 'delta_airline']","['monetary_values', 'check-in_boarding']"
6660,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6661,['spirit_airline'],"['customer_service', 'check-in_boarding', 'comfort', 'monetary_values']"
6662,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
6663,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6664,['spirit_airline'],"['customer_service', 'monetary_values', 'comfort', 'food_beverage', 'check-in_boarding']"
6665,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort', 'customer_service']"
6666,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6667,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6668,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'food_beverage']"
6669,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
6670,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6671,['spirit_airline'],"['customer_service', 'comfort']"
6672,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6673,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6674,['spirit_airline'],"['check-in_boarding', 'food_beverage', 'monetary_values', 'customer_service']"
6675,['spirit_airline'],['monetary_values']
6676,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6677,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6678,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6679,"['spirit_airline', 'american_airline']","['monetary_values', 'check-in_boarding', 'comfort']"
6680,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
6681,['spirit_airline'],['customer_service']
6682,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6683,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6684,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6685,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6686,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6687,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6688,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6689,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6690,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6691,['spirit_airline'],"['customer_service', 'monetary_values']"
6692,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6693,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6694,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values', 'comfort']"
6695,['spirit_airline'],['check-in_boarding']
6696,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
6697,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6698,['spirit_airline'],['customer_service']
6699,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6700,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6701,['spirit_airline'],['customer_service']
6702,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6703,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6704,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service', 'comfort']"
6705,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6706,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6707,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6708,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6709,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6710,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6711,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6712,"['spirit_airline', 'delta_airline']","['check-in_boarding', 'monetary_values', 'customer_service']"
6713,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6714,['spirit_airline'],['check-in_boarding']
6715,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6716,['spirit_airline'],"['cleanliness', 'customer_service']"
6717,['spirit_airline'],"['monetary_values', 'food_beverage', 'check-in_boarding', 'customer_service']"
6718,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'comfort']"
6719,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6720,['spirit_airline'],['check-in_boarding']
6721,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding']"
6722,"['spirit_airline', 'delta_airline']","['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6723,['spirit_airline'],"['check-in_boarding', 'food_beverage', 'comfort']"
6724,['spirit_airline'],"['monetary_values', 'comfort']"
6725,"['spirit_airline', 'united_airline']","['check-in_boarding', 'customer_service', 'comfort', 'food_beverage']"
6726,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6727,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6728,"['spirit_airline', 'southwest_airline']","['monetary_values', 'check-in_boarding', 'comfort', 'food_beverage']"
6729,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6730,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6731,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6732,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6733,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6734,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6735,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6736,['spirit_airline'],['monetary_values']
6737,['spirit_airline'],"['monetary_values', 'customer_service']"
6738,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6739,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'customer_service']"
6740,['spirit_airline'],"['customer_service', 'food_beverage', 'check-in_boarding', 'monetary_values']"
6741,['spirit_airline'],['monetary_values']
6742,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6743,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6744,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6745,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6746,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6747,['spirit_airline'],"['comfort', 'check-in_boarding', 'customer_service', 'monetary_values']"
6748,['spirit_airline'],['check-in_boarding']
6749,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6750,['spirit_airline'],['monetary_values']
6751,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6752,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
6753,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6754,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6755,['spirit_airline'],['monetary_values']
6756,"['spirit_airline', 'southwest_airline']","['customer_service', 'check-in_boarding', 'monetary_values']"
6757,['spirit_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
6758,"['spirit_airline', 'delta_airline']","['check-in_boarding', 'customer_service', 'monetary_values']"
6759,['spirit_airline'],['check-in_boarding']
6760,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6761,['spirit_airline'],"['check-in_boarding', 'cleanliness', 'customer_service']"
6762,"['spirit_airline', 'united_airline']","['monetary_values', 'check-in_boarding', 'customer_service']"
6763,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6764,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'monetary_values']"
6765,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'food_beverage', 'customer_service']"
6766,['spirit_airline'],"['monetary_values', 'food_beverage', 'check-in_boarding']"
6767,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'comfort', 'customer_service']"
6768,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6769,['spirit_airline'],['monetary_values']
6770,['spirit_airline'],"['check-in_boarding', 'comfort']"
6771,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'monetary_values']"
6772,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6773,['spirit_airline'],"['customer_service', 'monetary_values']"
6774,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6776,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6777,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6778,"['spirit_airline', 'southwest_airline']","['customer_service', 'monetary_values']"
6779,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6780,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6781,['spirit_airline'],"['monetary_values', 'comfort']"
6782,['spirit_airline'],"['check-in_boarding', 'comfort', 'cleanliness', 'monetary_values', 'food_beverage']"
6783,['spirit_airline'],['check-in_boarding']
6784,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6785,['spirit_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
6786,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6787,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6788,['spirit_airline'],['check-in_boarding']
6789,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'food_beverage']"
6790,['spirit_airline'],"['customer_service', 'check-in_boarding', 'comfort']"
6791,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding', 'comfort']"
6792,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6793,['spirit_airline'],"['monetary_values', 'comfort', 'check-in_boarding', 'food_beverage', 'customer_service']"
6794,['spirit_airline'],"['monetary_values', 'customer_service']"
6795,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'food_beverage']"
6796,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6797,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6798,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6799,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6800,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6801,['spirit_airline'],['customer_service']
6802,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6803,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6804,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6805,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6806,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6807,['spirit_airline'],"['check-in_boarding', 'customer_service', 'in-flight_entertainment', 'cleanliness', 'comfort']"
6808,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6809,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6810,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort', 'monetary_values']"
6811,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6812,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service', 'food_beverage']"
6813,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6814,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6815,['spirit_airline'],"['monetary_values', 'comfort', 'customer_service']"
6816,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6817,['spirit_airline'],['check-in_boarding']
6818,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6819,['spirit_airline'],['monetary_values']
6820,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6821,['spirit_airline'],"['check-in_boarding', 'customer_service', 'comfort']"
6822,['spirit_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
6823,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6824,['spirit_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
6825,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6827,['spirit_airline'],['monetary_values']
6828,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6829,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6830,['spirit_airline'],"['monetary_values', 'customer_service']"
6831,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6832,['spirit_airline'],"['cleanliness', 'customer_service', 'check-in_boarding', 'comfort']"
6833,['spirit_airline'],"['check-in_boarding', 'cleanliness', 'monetary_values']"
6834,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6835,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6836,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6837,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6838,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6839,['spirit_airline'],"['monetary_values', 'customer_service', 'comfort']"
6840,['spirit_airline'],"['check-in_boarding', 'comfort']"
6841,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6842,['spirit_airline'],['check-in_boarding']
6843,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6844,['spirit_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
6845,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6847,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6848,['spirit_airline'],"['monetary_values', 'customer_service']"
6849,['spirit_airline'],"['monetary_values', 'food_beverage', 'check-in_boarding', 'customer_service']"
6850,['spirit_airline'],"['comfort', 'check-in_boarding']"
6851,['spirit_airline'],"['check-in_boarding', 'customer_service', 'food_beverage']"
6852,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6853,['spirit_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
6854,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
6855,"['spirit_airline', 'delta_airline']","['comfort', 'check-in_boarding', 'customer_service']"
6856,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6857,"['spirit_airline', 'american_airline']","['monetary_values', 'check-in_boarding']"
6858,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6859,['spirit_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'monetary_values']"
6860,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6861,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6862,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6863,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6864,['spirit_airline'],"['customer_service', 'comfort']"
6865,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6866,"['spirit_airline', 'united_airline']","['monetary_values', 'customer_service']"
6867,['spirit_airline'],"['check-in_boarding', 'customer_service']"
6868,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'in-flight_entertainment']"
6869,['spirit_airline'],"['check-in_boarding', 'comfort']"
6870,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6871,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6872,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6873,['spirit_airline'],"['customer_service', 'check-in_boarding', 'comfort']"
6874,['spirit_airline'],"['check-in_boarding', 'food_beverage', 'customer_service', 'monetary_values']"
6875,['spirit_airline'],['monetary_values']
6876,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6877,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6878,['spirit_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
6879,['spirit_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
6880,['spirit_airline'],"['check-in_boarding', 'comfort', 'monetary_values']"
6881,['spirit_airline'],"['monetary_values', 'check-in_boarding']"
6882,['spirit_airline'],['check-in_boarding']
6883,['spirit_airline'],"['customer_service', 'check-in_boarding']"
6884,"['spirit_airline', 'southwest_airline', 'american_airline', 'united_airline']","['monetary_values', 'check-in_boarding', 'customer_service']"
6885,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6886,['spirit_airline'],"['monetary_values', 'customer_service']"
6887,['spirit_airline'],"['customer_service', 'monetary_values', 'check-in_boarding']"
6888,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
6889,['spirit_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'in-flight_entertainment', 'customer_service']"
6890,['spirit_airline'],"['check-in_boarding', 'monetary_values']"
6891,['spirit_airline'],['monetary_values']
