,Airline_Mentioned,Attribute_Mentioned
103,['delta_airline'],"['check-in_boarding', 'customer_service']"
104,['delta_airline'],"['in-flight_entertainment', 'check-in_boarding']"
105,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
107,['delta_airline'],"['comfort', 'monetary_values', 'check-in_boarding']"
108,['delta_airline'],"['check-in_boarding', 'customer_service']"
109,['delta_airline'],['check-in_boarding']
110,['delta_airline'],['check-in_boarding']
111,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
112,['delta_airline'],"['customer_service', 'comfort']"
113,['delta_airline'],['monetary_values']
114,['delta_airline'],"['check-in_boarding', 'customer_service']"
116,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values', 'food_beverage']"
117,['delta_airline'],"['check-in_boarding', 'customer_service']"
118,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service', 'monetary_values']"
119,['delta_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
120,['delta_airline'],"['monetary_values', 'check-in_boarding']"
121,['delta_airline'],"['comfort', 'monetary_values', 'check-in_boarding', 'customer_service']"
122,['delta_airline'],"['check-in_boarding', 'customer_service']"
123,['delta_airline'],['check-in_boarding']
124,['delta_airline'],"['check-in_boarding', 'monetary_values']"
125,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
126,['delta_airline'],"['check-in_boarding', 'customer_service']"
127,['delta_airline'],"['check-in_boarding', 'customer_service']"
128,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
129,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding', 'comfort']"
130,['delta_airline'],"['monetary_values', 'check-in_boarding']"
131,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
132,['delta_airline'],"['check-in_boarding', 'customer_service', 'monetary_values']"
133,['delta_airline'],"['monetary_values', 'comfort']"
134,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
135,['delta_airline'],"['check-in_boarding', 'monetary_values', 'customer_service']"
136,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
137,['delta_airline'],"['check-in_boarding', 'monetary_values']"
138,['delta_airline'],"['check-in_boarding', 'monetary_values']"
139,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service']"
140,['delta_airline'],"['monetary_values', 'comfort', 'food_beverage']"
141,['delta_airline'],"['monetary_values', 'customer_service', 'check-in_boarding']"
142,['delta_airline'],['customer_service']
143,['delta_airline'],"['check-in_boarding', 'customer_service']"
144,['delta_airline'],"['check-in_boarding', 'customer_service']"
145,['delta_airline'],"['food_beverage', 'check-in_boarding']"
146,['delta_airline'],"['monetary_values', 'check-in_boarding', 'comfort']"
147,['delta_airline'],"['check-in_boarding', 'monetary_values']"
148,['delta_airline'],['monetary_values']
149,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service']"
150,['delta_airline'],['check-in_boarding']
151,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
152,['delta_airline'],['check-in_boarding']
153,['delta_airline'],"['comfort', 'food_beverage', 'customer_service', 'check-in_boarding']"
154,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
155,"['delta_airline', 'southwest_airline']","['monetary_values', 'check-in_boarding', 'customer_service']"
156,['delta_airline'],"['customer_service', 'check-in_boarding']"
157,['delta_airline'],"['check-in_boarding', 'customer_service']"
158,['delta_airline'],"['check-in_boarding', 'food_beverage', 'monetary_values', 'customer_service']"
159,['delta_airline'],"['check-in_boarding', 'monetary_values', 'food_beverage', 'customer_service']"
160,['delta_airline'],"['monetary_values', 'check-in_boarding', 'customer_service']"
161,['delta_airline'],"['customer_service', 'check-in_boarding']"
162,['delta_airline'],"['customer_service', 'comfort', 'check-in_boarding']"
163,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
164,['delta_airline'],"['check-in_boarding', 'customer_service']"
165,['delta_airline'],"['check-in_boarding', 'customer_service']"
166,['delta_airline'],"['check-in_boarding', 'comfort', 'customer_service', 'food_beverage']"
167,['delta_airline'],"['comfort', 'check-in_boarding', 'customer_service']"
168,['delta_airline'],"['customer_service', 'check-in_boarding']"
169,['delta_airline'],"['check-in_boarding', 'customer_service']"
170,['delta_airline'],"['customer_service', 'check-in_boarding', 'comfort']"
171,['delta_airline'],['check-in_boarding']
172,['delta_airline'],"['customer_service', 'monetary_values']"
173,['delta_airline'],['check-in_boarding']
174,['delta_airline'],"['monetary_values', 'customer_service', 'comfort', 'check-in_boarding']"
175,['delta_airline'],"['monetary_values', 'customer_service', 'comfort']"
176,['delta_airline'],"['customer_service', 'check-in_boarding', 'monetary_values']"
177,['delta_airline'],"['check-in_boarding', 'customer_service']"
178,['delta_airline'],"['check-in_boarding', 'customer_service']"
179,['delta_airline'],"['customer_service', 'check-in_boarding']"
180,['delta_airline'],"['customer_service', 'monetary_values']"
181,['delta_airline'],"['check-in_boarding', 'customer_service']"
182,['delta_airline'],"['monetary_values', 'comfort', 'customer_service', 'check-in_boarding']"
183,['delta_airline'],['comfort']
184,['delta_airline'],"['monetary_values', 'check-in_boarding']"
185,['delta_airline'],"['customer_service', 'food_beverage', 'comfort', 'in-flight_entertainment', 'check-in_boarding', 'monetary_values']"
186,['delta_airline'],"['check-in_boarding', 'monetary_values', 'comfort', 'customer_service']"
187,['delta_airline'],"['check-in_boarding', 'in-flight_entertainment', 'monetary_values', 'customer_service']"
